age;Medu;Fedu;traveltime;studytime;failures;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;school_GP;school_MS;sex_F;sex_M;address_R;address_U;famsize_GT3;famsize_LE3;Pstatus_A;Pstatus_T;Mjob_at_home;Mjob_health;Mjob_other;Mjob_services;Mjob_teacher;Fjob_at_home;Fjob_health;Fjob_other;Fjob_services;Fjob_teacher;reason_course;reason_home;reason_other;reason_reputation;guardian_father;guardian_mother;guardian_other;schoolsup_no;schoolsup_yes;famsup_no;famsup_yes;paid_no;paid_yes;activities_no;activities_yes;nursery_no;nursery_yes;higher_no;higher_yes;internet_no;internet_yes;romantic_no;romantic_yes
0.2857142857142856;0.75;0.25;0.3333333333333333;0.0;0.0;0.25;0.75;1.0;0.5;0.75;0.25;0.1875;0.5263157894736842;0.5263157894736842;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.5714285714285712;0.5;0.25;0.3333333333333333;0.6666666666666667;0.3333333333333333;0.75;0.5;0.0;0.0;0.0;1.0;0.0;0.4736842105263157;0.5263157894736842;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.1428571428571428;0.5;0.75;0.6666666666666667;0.3333333333333333;0.0;0.75;1.0;0.75;0.0;0.25;0.0;0.0625;0.7894736842105263;0.7894736842105263;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;0.5;0.0;0.3333333333333333;0.0;0.75;0.5;0.75;0.0;0.25;0.25;0.1875;0.6842105263157894;0.5789473684210527;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.4285714285714284;0.75;0.25;0.0;0.3333333333333333;0.0;0.75;0.5;0.75;0.0;0.0;0.0;0.125;0.7894736842105263;0.7894736842105263;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.4285714285714284;0.75;0.5;0.6666666666666667;0.0;0.0;0.75;0.75;0.0;0.5;0.75;1.0;0.125;0.5263157894736842;0.5789473684210527;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;0.25;0.25;0.3333333333333333;0.3333333333333333;0.0;1.0;0.75;0.5;0.0;0.25;0.75;0.0;0.5263157894736842;0.5263157894736842;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;1.0;0.3333333333333333;0.3333333333333333;0.0;0.75;0.25;0.25;0.0;0.25;1.0;0.0625;0.7368421052631579;0.631578947368421;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.2857142857142856;0.5;0.25;0.0;0.3333333333333333;0.0;0.75;0.5;1.0;0.25;0.75;0.75;0.125;0.631578947368421;0.8421052631578947;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.5;0.5;0.0;0.0;1.0;0.0625;0.631578947368421;0.6842105263157894;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;0.5;1.0;0.6666666666666667;0.0;1.0;0.0;0.5;0.25;0.25;0.5;0.0;0.5263157894736842;0.4736842105263157;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.2857142857142856;0.75;0.25;0.0;0.3333333333333333;0.0;0.75;1.0;0.75;0.25;0.5;0.0;0.3125;0.4210526315789473;0.4736842105263157;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.2857142857142856;0.25;0.75;0.3333333333333333;0.0;0.0;1.0;0.0;0.25;0.5;0.5;1.0;0.0625;0.631578947368421;0.5789473684210527;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0
0.1428571428571428;0.5;0.5;0.3333333333333333;0.3333333333333333;0.0;1.0;0.75;0.75;0.25;0.75;1.0;0.0625;0.5263157894736842;0.5263157894736842;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;0.5;0.0;0.6666666666666667;0.0;1.0;0.5;0.5;0.0;0.5;0.0;0.125;0.7894736842105263;0.7894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;0.5;0.0;0.0;0.0;0.75;0.5;0.75;0.0;0.25;0.0;0.1875;0.3684210526315789;0.3684210526315789;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0
0.5714285714285712;0.5;0.75;0.0;0.6666666666666667;0.3333333333333333;1.0;0.75;0.25;0.0;0.25;1.0;0.125;0.5263157894736842;0.5789473684210527;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;0.5;0.3333333333333333;0.3333333333333333;0.0;0.5;0.75;0.75;0.0;0.75;1.0;0.0;0.6842105263157894;0.631578947368421;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.25;0.5;0.3333333333333333;0.0;0.0;1.0;0.75;1.0;0.0;0.75;0.25;0.0;0.7368421052631579;0.7368421052631579;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.75;0.25;0.0;0.3333333333333333;0.0;0.5;0.5;0.5;0.25;0.5;0.25;0.0;0.631578947368421;0.6842105263157894;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.2857142857142856;0.75;0.75;0.3333333333333333;0.6666666666666667;0.0;0.75;0.25;0.25;0.25;0.5;1.0;0.3125;0.5789473684210527;0.5789473684210527;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.1428571428571428;1.0;0.75;0.0;1.0;0.0;0.75;0.25;0.25;0.0;0.0;0.25;0.0625;0.894736842105263;0.894736842105263;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.4285714285714284;0.25;0.25;0.3333333333333333;1.0;0.0;1.0;0.25;0.25;0.0;0.0;0.5;0.0625;0.894736842105263;0.894736842105263;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.4285714285714284;0.75;0.5;0.0;0.6666666666666667;0.0;1.0;0.75;0.5;0.25;0.5;0.0;0.125;0.7368421052631579;0.8421052631578947;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.4285714285714284;0.75;0.75;0.0;0.3333333333333333;0.0;0.75;0.0;0.75;0.0;0.0;0.5;0.25;0.5789473684210527;0.631578947368421;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;0.25;0.5;0.0;0.3333333333333333;0.0;0.75;0.5;0.25;0.0;0.0;1.0;0.1875;0.6842105263157894;0.631578947368421;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.2857142857142856;0.5;0.5;0.0;0.0;0.3333333333333333;0.5;0.0;0.25;0.0;0.0;0.0;0.25;0.5789473684210527;0.4736842105263157;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0
0.2857142857142856;1.0;1.0;0.0;0.0;0.0;0.75;0.75;0.75;0.0;0.0;1.0;0.0625;0.7894736842105263;0.8421052631578947;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;1.0;1.0;0.0;0.6666666666666667;0.0;1.0;0.75;1.0;0.0;0.0;0.75;0.0625;0.7894736842105263;0.7894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.1428571428571428;0.75;0.75;0.0;0.6666666666666667;0.0;1.0;0.5;0.5;0.0;0.0;1.0;0.125;0.6842105263157894;0.7368421052631579;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;0.75;0.25;0.3333333333333333;0.0;0.0;0.5;0.25;0.5;0.0;0.5;0.75;0.0;0.5263157894736842;0.4736842105263157;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.2857142857142856;1.0;0.75;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.75;1.0;1.0;0.0;0.5;0.25;0.125;0.5263157894736842;0.5789473684210527;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0
0.4285714285714284;1.0;0.75;0.0;1.0;0.0;0.75;0.5;0.5;0.0;0.0;0.5;0.0;0.8421052631578947;0.894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.4285714285714284;0.75;0.5;0.0;0.6666666666666667;0.0;0.75;0.5;0.75;0.0;0.25;0.25;0.15625;0.7368421052631579;0.894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.4285714285714284;1.0;0.5;0.0;0.3333333333333333;0.0;0.75;0.25;0.25;0.0;0.0;0.5;0.0;0.7368421052631579;0.894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.75;0.75;0.0;0.3333333333333333;0.0;0.75;0.5;0.5;0.25;0.75;1.0;0.125;0.5789473684210527;0.5789473684210527;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.25;0.5;0.0;0.0;0.0;0.75;0.75;0.75;0.25;0.75;1.0;0.125;0.4736842105263157;0.5263157894736842;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0
0.0;0.75;0.75;0.0;0.3333333333333333;0.0;0.75;1.0;0.75;0.0;0.0;0.0;0.125;0.6842105263157894;0.631578947368421;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.1428571428571428;0.75;0.75;0.3333333333333333;0.3333333333333333;0.0;0.75;0.75;1.0;0.0;0.0;0.75;0.0;0.7368421052631579;0.7368421052631579;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;0.75;0.0;0.3333333333333333;0.0;1.0;0.25;0.25;0.0;0.0;1.0;0.125;0.5263157894736842;0.5789473684210527;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.0;0.75;0.75;0.3333333333333333;0.0;0.0;0.75;0.0;0.5;0.0;0.0;0.75;0.0;0.7368421052631579;0.8421052631578947;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;0.5;0.25;0.0;0.0;0.0;0.75;1.0;0.25;0.0;0.0;1.0;0.125;0.4736842105263157;0.5263157894736842;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0
0.4285714285714284;0.75;0.75;0.0;1.0;0.0;1.0;0.5;0.5;0.0;0.0;0.0;0.125;0.7368421052631579;0.7368421052631579;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.4285714285714284;0.5;0.5;0.3333333333333333;0.3333333333333333;0.0;0.75;0.0;0.75;0.0;0.5;0.75;0.3125;0.7368421052631579;0.894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.2857142857142856;1.0;1.0;0.0;0.0;0.0;1.0;0.5;0.75;0.0;0.25;1.0;0.0625;0.7368421052631579;0.7894736842105263;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.0;1.0;1.0;0.0;0.6666666666666667;0.0;0.75;0.25;0.25;0.0;0.0;1.0;0.0625;0.6842105263157894;0.6842105263157894;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
0.1428571428571428;1.0;0.75;0.3333333333333333;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.75;0.1875;0.4736842105263157;0.5789473684210527;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0
0.2857142857142856;0.5;0.25;0.0;0.3333333333333333;0.0;0.75;0.25;0.5;0.25;0.25;0.25;0.0625;0.5789473684210527;0.631578947368421;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
